article,name,subject_name,model,color,components,dimensions,,,,,,,package_type,weight_without_package,weight_with_package,form,material,features,declaration_of_conformity,additional_info
202339623,Принтик,Принтеры портативные,C25,голубой,"Принтик, один рулон термобумаги внутри, USB-кабель, инструкция, цветная бумага 3 шт, самоклеящаяся бумага 5 шт, термобумага 5 шт, фломастеры разного цвета 5 шт",8.5 см,5 см,9.5 см,,16 см,7 см,16 см,коробка,0.45 кг,0.7 кг,квадратная с закругленными углами,пластик,"Не требует чернил, Термопечать, Подключение по Bluetooth, Работает с Android и iOS, Приложение ""ПРИНТИКИ"", Аккумулятор 1200 мАч, До 5 часов работы, Печать 30-40 этикеток",Есть,Принтик для печати этикеток и наклеек.
232457954,Принтик,Принтеры портативные,C9,розовый,"Принтик, чехол для принтика, один рулон термобумаги внутри принтика, USB-кабель, инструкция, самоклеящаяся бумага 5 шт, термобумага 5 шт, фломастеры разного цвета 6 шт",8 см,3.5 см,11 см,,13 см,8 см,13 см,коробка,0.3 кг,0.45 кг,прямоугольный,пластик,"Не требует чернил, Термопечать, Подключение по Bluetooth, Работает с Android и iOS, Приложение ""ПРИНТИКИ"", Аккумулятор 1200 мАч, До 5 часов работы, Печать 30-40 этикеток",Есть,Принтик для печати этикеток и наклеек.
265144065,набор бумаг для принтика,Термобумага,,белый,"5 рулонов самоклеящейся термобумаги, 5 рулонов термобумаги, 3 рулона цветной бумаги, фломастеры 6 шт",,,,,13 см,9 см,6 см,пакет,,,,,,,"Термобумага предназначена для устройств, использующих технологию термопечати. Термобумага подходит для любого портативного карманного мобильного теплового Bluetooth принтика. Бумага высокого качества, не высвечивается по истечению времени. Можно печатать наклейки. Если принтик не крутит бумагу при печати, то попробуйте сменить рулон бумаги или плотно скрутить текущий рулон. Если принтик пишет, что не видит бумагу, то убедитесь, что вы подключены к нужному принтику, если у вас несколько принтиков, или попробуйте поменять бумагу."
173308682,термобумага,Термобумага,,белый,10 рулонов термобумаги,350 см,6 см,,3 см,13 см,6 см,6 см,пакет,,,цилиндр,термобумага,,Есть,"Термобумага предназначена для устройств, использующих технологию термопечати. Подходит для любого портативного карманного мобильного Bluetooth принтика. Бумага высокого качества, не выцветает со временем. Если принтик не крутит бумагу при печати, попробуйте сменить рулон бумаги или плотно скрутить текущий рулон. Если принтик пишет, что не видит бумагу, убедитесь, что вы подключены к нужному принтику, или попробуйте заменить бумагу."
177772763,термобумага,Термобумага,,белый,5 рулонов термобумаги,350 см,6 см,,3 см,12 см,3 см,6 см,пакет,,,,,,,"Термобумага предназначена для устройств, использующих технологию термопечати. Подходит для любого портативного карманного мобильного Bluetooth принтика. Бумага высокого качества, не выцветает со временем. Если принтик не крутит бумагу при печати, попробуйте сменить рулон бумаги или плотно скрутить текущий рулон. Если  принтик пишет, что не видит бумагу, убедитесь, что вы подключены к нужному принтику, или попробуйте заменить бумагу."
177774496,самоклеющаяся бумага,Термобумага,,белый,5 рулонов самоклеящейся термобумаги,350 см,6 см,,3 см,12 см,3 см,6 см,пакет,,,,,,,"Термобумага предназначена для устройств, использующих технологию термопечати. Подходит для любого портативного карманного мобильного Bluetooth принтика. Бумага высокого качества, не выцветает со временем. Если принтик не крутит бумагу при печати, попробуйте сменить рулон бумаги или плотно скрутить текущий рулон. Если  принтик пишет, что не видит бумагу, убедитесь, что вы подключены к нужному принтику, или попробуйте заменить бумагу."
177774919,самоклеющаяся бумага,Термобумага,,белый,10 рулонов самоклеящейся термобумаги,350 см,6 см,,3 см,13 см,6 см,6 см,пакет,,,,,,,"Термобумага предназначена для устройств, использующих технологию термопечати. Подходит для любого портативного карманного мобильного Bluetooth принтика. Бумага высокого качества, не выцветает со временем. Если принтик не крутит бумагу при печати, попробуйте сменить рулон бумаги или плотно скрутить текущий рулон. Если  принтик пишет, что не видит бумагу, убедитесь, что вы подключены к нужному принтику, или попробуйте заменить бумагу."
265144391,прозрачная термобумага,Термобумага,,бесцветный,10 рулонов прозрачной термобумаги,350 см,6 см,,3 см,13 см,3 см,11 см,пакет,,,,,,,"Термобумага предназначена для устройств, использующих технологию термопечати. Подходит для любого портативного карманного мобильного Bluetooth принтика. Бумага высокого качества, не выцветает со временем. Если принтик не крутит бумагу при печати, попробуйте сменить рулон бумаги или плотно скрутить текущий рулон. Если  принтик пишет, что не видит бумагу, убедитесь, что вы подключены к нужному принтику, или попробуйте заменить бумагу."
237099332,Внешний жесткий диск,Жесткие диски,,черный,"Внешний жесткий диск, инструкция по применению, USB-кабель",11.7 см,8 см,,,16 см,13 см,5 см,коробка,,,,,,,"Объем 500 Гб (465 Гб в двоичной системе исчисления).Легко подключается к компьютерам, ноутбукам и смартфонам через USB. Подходит для хранения рабочих документов, музыки, фотографий и других файлов. Для связки с iPhone рекомендуем использовать USB-Flash накопитель или внешний SSD, так как внешние HDD для связки не рекомендуются. Файловая система NTFS.Подходит для PS4. Использует структуру MBR."
156429618,Головоломка сад,Головоломки,,мультиколор,"Головоломка, инструкция",30 см,22 см,4 см,,31 см,23 см,5 см,коробка,0.25 кг,0.3 кг,плоская,дерево,"Развивает логическое мышление, Способствует развитию моторики, Яркие цвета, Безопасные материалы",,"Головоломка для детей от 3 лет. Помогает развивать логическое мышление, внимание и мелкую моторику."
167291415,Паяльник электрический,Паяльное оборудование,,синий,"Кейс, паяльник, мультимер, жало для паяльника 5 шт, оловоотсос, пинцет, припой, нож для изоляции, губка для чистки, подставка, органайзер",,,,,14 см,5 см,26 см,кейс,0.6 кг,1 кг,,,"Регулятор температуры 220-450 °C, Корпус из нержавеющей стали, Жаростойкий переходник, Противоскользящий изолятор, Антипригарное покрытие на наконечнике, Мультимер без прозвонки, Длина шнура 1.5 метра, Мощность 60 Вт",,Паяльник с регулятором температуры от 220 до 450 °C. Корпус из нержавеющей стали. Переходник из жаростойкого материала. Имеется противоскользящий изолятор. Наконечник паяльника с антипригарным покрытием. Мультимер без прозвонки Длина шнура паяльника - 1.5 метра. Мощность паяльника - 60 Вт. Питание от сети - 220 V.
167299334,Фотоловушка,Оборудование для наблюдения,,камуфляжный принт,"Фотоловушка, 4 батарейки, карта памяти на 32GB, ремень для крепления, инструкция",13.5 см,10 см,5.5 см,,15 см,11 см,8 см,коробка,0.25 кг,0.3 кг,,,"2-х дюймовый экран, Видео Full HD 1920х1080, Разрешение фото 36 мп, Ночная съемка с ИК подсветкой 940 нм, Рабочая температура до -40°C, Датчик движения, Водостойкая",,"Инструкция по применению находится на коробке в виде QR-кода. Питание от 4-х мощных батареек АА типа. Фотоловушка имеет 2-х дюймовый экран, снимает видео в формате Full HD 1920х1080 с разрешением 36 мп. Имеется функция ночной съемки с инфракрасной подсветкой 940 нм. Фотоловушка выдерживает температуры до -40°C. Имеет датчик движения. Фотоловушка водостойкая. Рекомендуется настраивать фотоловушку строго по инструкции по QR-коду."
177775645,Паяльник электрический с дисплеем,Паяльное оборудование,,черный,"Кейс, паяльник, два черных и красных шнура питания, набор инструментов, жало для паяльника 5 шт, оловоотсос, простой инструмент для зачистки проводов, жестяная проволока, кронштейн для паяльника, губка, пинцет",,,,,14 см,5 см,26 см,кейс,0.6 кг,1 кг,,,"Регулятор температуры 220-450 °C, Корпус из нержавеющей стали, Жаростойкий переходник, Противоскользящий изолятор, Антипригарное покрытие на наконечнике, Длина шнура 1.5 метра, Мощность 80 Вт",,Паяльник с регулятором температуры от 220 до 450 °C. Корпус из нержавеющей стали. Переходник из жаростойкого материала. Имеется противоскользящий изолятор. Наконечник паяльника с антипригарным покрытием. Длина шнура паяльника - 1.5 метра. Мощность паяльника - 80 Вт. Питание от сети - 220 V.
232616451,Пейджеры 16 шт,Пейджеры,,черный,"16 пейджеров, 16 зарядных устройств, инструкция",5.5 см,3.5 см,1 см,,23 см,17 см,8 см,коробка,1.12 кг,1.4 кг,,пластик,"Дальность действия до 150 метров, 3 режима вызова: звуковой, вибрация, световой, Функция поиска пейджера",Есть,"Пейджеры для ресторанов, кафе, магазинов и других заведений. Дальность действия до 150 метров. 3 режима вызова: звуковой, вибрация, световой. Функция поиска пейджера."
234671636,Паровой утюг,Утюги,,темно-бордовый,"Утюг, инструкция, мерный стакан",30 см,15 см,,,31 см,17 см,13 см,коробка,1.3 кг,,,керамика,"Керамическое покрытие подошвы, устойчивое к царапинам, Защита от накипи, Очистка от накипи, Вертикальная глажка, Мощность 2500 Вт, Паровой удар 150 г/мин, Подача пара 40 г/мин, Объем резервуара для воды 480 мл, Длина шнура 1.45 м, Регулировка температуры, Сухая глажка, Распыление воды, Глажка паром, Время нагрева 15-20 секунд",,"Вес 1300 грамм. Покрытие подошвы - керамика, устойчива к царапинам. Функции: защита от накипи, очистка от накипи, вертикальная глажка. Мощность 2500 Вт, паровой удар 150 г/мин, подача пара 40 г/мин, объем резервуара для воды 480 мл, мерный стакан 100 мл, длина шнура 1,45 м. Имеется регулировка температуры, поддерживаются функции сухой глажки, распыления воды и глажки паром. Время нагрева до рабочей температуры: 15-20 секунд.  Рекомендации по использованию: 1. Наполняйте резервуар до 300 мл, используя мерный стакан.  2. При глажке устанавливайте максимальную температуру для достаточной подачи пара.  3. Опорожняйте резервуар после использования для предотвращения образования накипи.  4. Храните утюг в вертикальном положении с отключенной подачей пара.  5. Перед использованием прогревайте утюг в вертикальном положении для преобразования воды в пар."
239953512,Блендер стационарный для смузи и коктейлей,Блендеры стационарные,,металлик,"стационарный блендер, чаша на 2 литра, чаша на 1 литр, толкатель, инструкция на русском языке",19 см,19 см,35 см,,32 см,23 см,38 см,коробка,,,,нержавеющая сталь,"Мощность 6000 Вт, Регулировка скорости вращения лезвий до 30 000 оборотов в минуту, Лезвия и корпус из нержавеющей стали",,Мощность 6000 Вт. Имеется регулировка скорости вращения лезвий до 30 000 оборотов в минуту. Лезвия и корпус выполнены из нержавеющей стали. Мыть чаши в посудомоечной машине и руками не рекомендуется; после использования рекомендуется споласкивать под проточной водой в отключенном состоянии. Подходит для измельчения зерен кофе и орехов.
239949088,Беспроводной паровой утюг,Утюги,,фиолетовый,"Утюг, инструкция, мерный стакан",28 см,16 см,,,33 см,18 см,13 см,коробка,1.3 кг,,,керамика,"Время беспроводного режима: 40 секунд, Керамическое покрытие подошвы, устойчивое к царапинам, Защита от накипи, Очистка от накипи, Вертикальная глажка, Мощность 2400 Вт, Паровой удар 150 г/мин, Подача пара 40 г/мин, Объем резервуара для воды 480 мл, Длина шнура 1.58 м, Регулировка температуры, Сухая глажка, Распыление воды, Глажка паром, Время нагрева 15-20 секунд",,"Время беспроводного режима: 40 секунд. Вес 1300 грамм. Покрытие подошвы - керамика, устойчива к царапинам. Функции: защита от накипи, очистка от накипи, вертикальная глажка. Мощность 2400 Вт, паровой удар 150 г/мин, подача пара 40 г/мин, объем резервуара для воды 480 мл, мерный стакан 100 мл, длина шнура 1,58 м. Имеется регулировка температуры, поддерживаются функции сухой глажки, распыления воды и глажки паром. Время нагрева до рабочей температуры: 15-20 секунд.  Рекомендации по использованию: 1. Наполняйте резервуар до 300 мл, используя мерный стакан.  2. При глажке устанавливайте максимальную температуру для достаточной подачи пара.  3. Опорожняйте резервуар после использования для предотвращения образования накипи.  4. Храните утюг в вертикальном положении с отключенной подачей пара.  5. Перед использованием прогревайте утюг в вертикальном положении для преобразования воды в пар."
239952706,Мясорубка электрическая,Мясорубки электрические,B-5010,,"Пластиковый толкатель, насадка для набивки колбас, металлический лоток для продуктов, корпус рабочей камеры мясорубки, 2 насадки для кеббе, заглушка, инструкция на русском языке, 3 решетки для измельчения мяса, мясорубка, 1 насадка для колбасы, насадка для набивки колбас",32 см / 35 см,15.5 см / 32 см,"29 см / 15,5 см",,42 см,20 см,30 см / 28 см,коробка,3 кг,"3,4 кг",,нержавеющая сталь,"Перерабатывает до 3 кг мяса в минуту, Максимальное время непрерывной работы - 15 минут, Мощность 3500 Вт, Функция обратного хода (reverse), опция Reverse - измельчение в обратном направлении",,"Перерабатывает до 3 кг мяса в минуту. Максимальное время непрерывной работы - 15 минут. Мощность 3500 Вт. Рекомендуется ручная мойка деталей для сохранения их качества. Не рекомендуется мыть в посудомоечной машине. Следует делать перерыв в работе не менее 10 минут. Не перемалывать кости, шкурки, замороженное мясо или большие куски - это сокращает срок службы. Мясо должно быть нарезано кусочками 20 х 20 х 40 мм. Мясорубка оборудована термостатом, который отключает питание при перегреве. Вес - 3 кг. Есть функция обратного хода (reverse)."
